Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuSyntheticPancreas.labelNoun			Synthetische Bauchspeicheldrüse		Syntetyczna trzustka							Синтетическая поджелудочная железа	Синтетична підшлункова залоза											Pâncreas sintético					
HediffDef&KokuUltraPancreas.labelNoun			Ultra Bauchspeicheldrüse		Ultra trzustka							Ультра поджелудочная железа	Ультра підшлункова залоза											Ultra pâncreas					
HediffDef&KokuArtificialGallbladder.labelNoun			Künstliche Gallenblase		Sztuczny pęcherzyk żółciowy							Искусственный желчный пузырь	Штучний жовчний міхур											Plexo biliar artificial					
HediffDef&KokuSyntheticGallbladder.labelNoun			Synthetische Gallenblase		Syntetyczny pęcherzyk żółciowy							Синтетический желчный пузырь	Синтетичний жовчний міхур											Plexo biliar sintético					
HediffDef&KokuUltraGallbladder.labelNoun			Ultra Gallenblase		Ultra pęcherzyk żółciowy							Ультра желчный пузырь	Ультра жовчний міхур											Ultra plexo biliar					
HediffDef&KokuHydraulicWing.labelNoun			Hydraulischer Flügel		Hydrauliczne skrzydło							Гидравлическое крыло	Гідравлічне крило											Ala hidráulica					
HediffDef&KokuHydraulicAntenna.labelNoun			Hydraulische Antenne		Hydrauliczna antenka							Гидравлическая антенна	Гідравлічна антена											Antenna hidráulica					
HediffDef&KokuHydraulicTail.labelNoun			Hydraulischer Schwanz		Hydrauliczny ogon							Гидравлический хвост	Гідравлічний хвіст											Cauda hidráulica					
HediffDef&KokuArtificialHoneyStomach.labelNoun			Künstlicher Honigmagen		Sztuczny miodowy żołądek							Искусственный медовый желудок	Штучний медовий шлунок											Estômago de mel artificial					
HediffDef&KokuSyntheticHoneyStomach.labelNoun			Synthetischer Honigmagen		Syntetyczny miodowy żołądek							Синтетический медовый желудок	Синтетичний медовий шлунок											Estômago de mel sintético					
HediffDef&KokuUltraHoneyStomach.labelNoun			Ultra Honigmagen		Ultra miodowy żołądek							Ультра медовый желудок	Ультра медовий шлунок											Ultra estômago de mel					
RecipeDef&KokuInstallHydraulicLeg.label			Hydraulische Bein installieren		Zainstaluj hydrauliczną noge							Установить гидравлическую ногу	Встановити гідравлічну ногу											Instalar perna hidráulica					
RecipeDef&KokuInstallHydraulicLeg.description			Installiert ein hydraulisches Bein.		Instaluje hydrauliczną noge.							Устанавливает гидравлическую ногу.	Встановлює гідравлічну ногу.											Instala uma perna hidráulica.					
RecipeDef&KokuInstallHydraulicLeg.jobString			Installiert ein hydraulisches Bein		Instaluje hydrauliczną noge							Устанавливает гидравлическую ногу	Встановлює гідравлічну ногу											Instalando perna hidráulica					
RecipeDef&KokuInstallArtificialBrain.jobString			Installiere ein künstliches Gehirn		Instaluje sztuczny mózg							Устанавливает искусственный мозг	Встановлює штучний мозок											Instala um cérebro artificial					
RecipeDef&KokuInstallAdvancedBrain.jobString			Installiere ein fortschrittliches Gehirn		Instaluje zaawansowany mózg							Устанавливает усовершенствованный мозг	Встановлює вдосконалений мозок											Instala um cérebro avançado					
RecipeDef&KokuInstallUltraBrain.jobString			Installiere ein Ultra-Gehirn		Instaluje ultra mózg							Устанавливает ультра мозг	Встановлює ультра мозок											Instala um ultra cérebro					
RecipeDef&KokuInstallArtificialLung.jobString			Installiere eine künstliche Lunge		Instaluje sztuczne płuco							Устанавливает искусственное легкое	Встановлює штучне легке											Instala um pulmão artificial					
RecipeDef&KokuInstallSyntheticLung.jobString			Installiere eine synthetische Lunge		Instaluje syntetyczne płuco							Устанавливает синтетическое легкое	Встановлює синтетичне легке											Instala um pulmão sintético					
RecipeDef&KokuInstallUltraLung.jobString			Installiere eine Ultra-Lunge		Instaluje ultra płuco							Устанавливает ультра легкое	Встановлює ультра легке											Instala um ultra pulmão					
RecipeDef&KokuInstallArtificialStomach.jobString			Installiere einen künstlichen Magen		Instaluje sztuczny żołądek							Устанавливает искусственный желудок	Встановлює штучний шлунок											Instala um estômago artificial					
RecipeDef&KokuInstallSyntheticStomach.jobString			Installiere einen synthetischen Magen		Instaluje syntetyczny żołądek							Устанавливает синтетический желудок	Встановлює синтетичний шлунок											Instala um estômago sintético					
RecipeDef&KokuInstallUltraStomach.jobString			Installiere einen Ultra-Magen		Instaluje ultra żołądek							Устанавливает ультра желудок	Встановлює ультра шлунок											Instala um ultra estômago					
RecipeDef&KokuInstallArtificialLiver.jobString			Installiere eine künstliche Leber		Instaluje sztuczną wątrobe							Устанавливает искусственную печень	Встановлює штучну печінку											Instala um fígado artificial					
